reaction_name	template_id	example	reaction_template	reactant_categories
imidazole_Xketone_synthesis	1	CCCC(=O)CF.N=C(N)CCCCCC(=O)CF>>CCCn1ccnc1CCCCCC(=O)CF	[C;$(C(C)(=O)C[F]);!R:1][*;!$(C[F]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAliphaticFluoride.Amidine
imidazole_Xketone_synthesis	2	CCCC(=O)CCl.N=C(N)CCCCCC(=O)CCl>>CCCn1ccnc1CCCCCC(=O)CCl	[C;$(C(C)(=O)C[Cl]);!R:1][*;!$(C[Cl]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAliphaticChloride.Amidine
imidazole_Xketone_synthesis	3	CCCC(=O)CBr.N=C(N)CCCCCC(=O)CBr>>CCCn1ccnc1CCCCCC(=O)CBr	[C;$(C(C)(=O)C[Br]);!R:1][*;!$(C[Br]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAliphaticBromide.Amidine
imidazole_Xketone_synthesis	4	CCCC(=O)CI.N=C(N)CCCCCC(=O)CI>>CCCn1ccnc1CCCCCC(=O)CI	[C;$(C(C)(=O)C[I]);!R:1][*;!$(C[I]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAliphaticIodide.Amidine
imidazole_Xketone_synthesis	5	CCCC(=O)COS(=O)(=O)C(F)(F)F.N=C(N)CCCCCC(=O)COS(=O)(=O)C(F)(F)F>>CCCn1ccnc1CCCCCC(=O)COS(=O)(=O)C(F)(F)F	[C;$(C(C)(=O)C[*;$(OS(=O)(=O)C(F)(F)F)]);!R:1][*;!$(COS(=O)(=O)C(F)(F)F):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAliphaticTriflate.Amidine
imidazole_Xketone_synthesis	6	Cc1ccccc1C(=O)CF.N=C(N)CCCc1ccccc1C(=O)CF>>Cc1ccccc1n1ccnc1CCCc1ccccc1C(=O)CF	[C;$(C([#6;a])(=O)C[F]);!R:1][*;!$(C[F]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAromaticFluoride.Amidine
imidazole_Xketone_synthesis	7	Cc1ccccc1C(=O)CCl.N=C(N)CCCc1ccccc1C(=O)CCl>>Cc1ccccc1n1ccnc1CCCc1ccccc1C(=O)CCl	[C;$(C([#6;a])(=O)C[Cl]);!R:1][*;!$(C[Cl]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAromaticChloride.Amidine
imidazole_Xketone_synthesis	8	Cc1ccccc1C(=O)CBr.N=C(N)CCCc1ccccc1C(=O)CBr>>Cc1ccccc1n1ccnc1CCCc1ccccc1C(=O)CBr	[C;$(C([#6;a])(=O)C[Br]);!R:1][*;!$(C[Br]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAromaticBromide.Amidine
imidazole_Xketone_synthesis	9	Cc1ccccc1C(=O)CI.N=C(N)CCCc1ccccc1C(=O)CI>>Cc1ccccc1n1ccnc1CCCc1ccccc1C(=O)CI	[C;$(C([#6;a])(=O)C[I]);!R:1][*;!$(C[I]):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAromaticIodide.Amidine
imidazole_Xketone_synthesis	10	Cc1ccccc1C(=O)COS(=O)(=O)C(F)(F)F.N=C(N)CCCc1ccccc1C(=O)COS(=O)(=O)C(F)(F)F>>Cc1ccccc1n1ccnc1CCCc1ccccc1C(=O)COS(=O)(=O)C(F)(F)F	[C;$(C([#6;a])(=O)C[$(OS(=O)(=O)C(F)(F)F)]);!R:1][*;!$(COS(=O)(=O)C(F)(F)F):2].[N;!R;D1;$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]):3]=[#6:4][#7;D1:5]>>[*:2][n:3]1:[c:4]:[n:5]:c:c1	XKetoneAromaticTriflate.Amidine
reductive_amination_ketone	11	Cc1cccc2c1C(=O)c1ccccc1-2.NCCNCCCCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(N(CCN)CCCCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[!$(C=C);!$(C#C);!$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic
reductive_amination_ketone	12	Cc1cccc2c1C(=O)c1ccccc1-2.NC=CNCCCCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(N(C=CN)CCCCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic
reductive_amination_ketone	13	Cc1cccc2c1C(=O)c1ccccc1-2.NC=CNC=CCCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(N(C=CN)C=CCCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic
reductive_amination_ketone	14	Cc1cccc2c1C(=O)c1ccccc1-2.NC1CNCC(CCc2cccc3c2C(=O)c2ccccc2-3)C1>>Cc1cccc2c1C(N1CC(N)CC(CCc3cccc4c3C(=O)c3ccccc34)C1)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[!$(C=C);!$(C#C);!$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_SaturatedAliphatic-SaturatedAliphatic
reductive_amination_ketone	15	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(CCC3CC=CNC3)c21>>Cc1cccc2c1C(N1C=CCC(CCc3cccc4c3C(=O)c3ccccc34)C1)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);R;D2;$([N;X3;!+;!-;!$(N=*);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$(C=N),$(C=C),$(C#C),$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic
reductive_amination_ketone	16	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(CCC3C=CNC=CC3)c21>>Cc1cccc2c1C(N1C=CCC(CCc3cccc4c3C(=O)c3ccccc34)C=C1)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic
reductive_amination_ketone	17	Cc1cccc2c1C(=O)c1ccccc1-2.NCCNCCCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(NCCNCCCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N[C;X4][c;$(a1aaaa1),$(a1aaaaa1)]);!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]):4][#6:5]>>C([*:2])([*:3])[N:4][#6:5]	KetoneAromaticCyclic.Amine_Primary_SaturatedAliphatic
reductive_amination_ketone	18	Cc1cccc2c1C(=O)c1ccccc1-2.NC=CNCCCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(NC=CNCCCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*C=C),$(*C#C),$(*C#N);!$(*a)]):4][#6:5]>>C([*:2])([*:3])[N:4][#6:5]	KetoneAromaticCyclic.Amine_Primary_UnsaturatedAliphatic
